,nx,ny,rsx,rsy,lsx,lsy,rhx,rhy,lhx,lhy,rkx,rky,lkx,lky,label,original_index
8673,20.869565199999982,-5.2173913099999965,20.86956520000004,-10.43478261,0.0,0.0,6.95652179999999,0.0,6.956521700000025,0.0,6.956521699999968,0.0,0.0,-10.434782599999977,0.0,21934.0
8674,20.869565199999982,-5.2173913099999965,13.913043500000015,-5.217391300000003,0.0,0.0,6.95652179999999,0.0,6.956521700000025,0.0,0.0,0.0,0.0,-10.434782599999977,0.0,21936.0
8675,20.869565199999982,0.0,13.913043500000015,-5.217391300000003,0.0,-5.2173913099999965,6.95652179999999,0.0,0.0,0.0,0.0,0.0,-6.956521700000025,-10.434782599999977,0.0,21938.0
8676,13.913043399999992,-5.2173913099999965,13.913043500000015,-5.217391300000003,0.0,-5.2173913099999965,6.95652179999999,0.0,0.0,0.0,0.0,0.0,-6.956521700000025,-5.217391300000031,0.0,21940.0
8677,13.913043399999992,0.0,13.913043500000015,0.0,0.0,0.0,6.95652179999999,0.0,-6.956521700000025,0.0,0.0,0.0,0.0,-10.434782599999977,0.0,21942.0
8678,13.913043399999992,0.0,13.913043500000015,0.0,0.0,0.0,6.95652179999999,0.0,0.0,0.0,-6.956521699999968,10.43478260000002,-13.913043399999992,10.434782599999977,0.0,21944.0
8679,13.913043399999992,0.0,6.956521700000025,-5.217391300000003,0.0,-5.2173913099999965,6.95652179999999,0.0,0.0,0.0,-6.956521699999968,10.43478260000002,-6.956521699999968,-10.434782599999977,0.0,21946.0
8680,13.913043399999992,0.0,6.956521700000025,-5.217391300000003,0.0,-5.2173913099999965,6.95652179999999,5.2173912999999885,0.0,5.2173912999999885,-6.956521699999968,10.43478260000002,-6.956521699999968,-10.434782599999977,0.0,21948.0
8681,6.956521699999968,0.0,6.956521700000025,-5.217391300000003,0.0,-5.2173913099999965,6.95652179999999,5.2173912999999885,0.0,5.2173912999999885,-6.956521699999968,5.2173912999999885,-6.956521699999968,-5.217391299999946,0.0,21950.0
8682,6.956521699999968,0.0,6.956521700000025,-5.217391300000003,0.0,0.0,6.95652179999999,0.0,6.956521700000025,0.0,0.0,-5.2173912999999885,0.0,-5.217391299999946,0.0,21952.0
8683,6.956521699999968,0.0,0.0,-5.217391300000003,0.0,0.0,6.95652179999999,10.434782599999977,0.0,10.43478260000002,-6.956521699999968,10.43478260000002,6.956521700000025,-26.086956499999943,0.0,21954.0
8684,6.956521699999968,0.0,0.0,-5.217391300000003,0.0,-5.2173913099999965,6.95652179999999,0.0,6.956521700000025,0.0,0.0,5.2173912999999885,6.956521700000025,-26.086956499999943,0.0,21956.0
8685,6.956521699999968,0.0,0.0,-5.217391300000003,0.0,-5.2173913099999965,6.95652179999999,10.434782599999977,6.956521700000025,5.2173912999999885,0.0,0.0,6.956521700000025,-26.086956499999943,0.0,21958.0
8686,0.0,0.0,0.0,-5.217391300000003,0.0,-5.2173913099999965,6.95652179999999,5.2173912999999885,0.0,5.2173912999999885,6.956521700000025,-15.652173899999966,6.956521700000025,-20.869565199999997,0.0,21960.0
8687,0.0,0.0,0.0,-5.217391300000003,0.0,-5.2173913099999965,6.95652179999999,5.2173912999999885,0.0,5.2173912999999885,13.913043399999992,-15.652173899999966,0.0,-5.217391300000031,0.0,21962.0
8688,0.0,0.0,0.0,0.0,0.0,0.0,6.95652179999999,5.2173912999999885,0.0,5.2173912999999885,6.956521700000025,-15.652173899999966,6.956521700000025,-20.869565199999997,0.0,21964.0
8689,0.0,0.0,0.0,-5.217391300000003,0.0,-5.2173913099999965,6.95652179999999,5.2173912999999885,0.0,5.2173912999999885,6.956521699999968,0.0,0.0,0.0,0.0,21966.0
8690,0.0,0.0,0.0,0.0,0.0,-5.2173913099999965,6.95652179999999,5.2173912999999885,0.0,5.2173912999999885,6.956521699999968,-10.434782599999977,0.0,0.0,0.0,21968.0
